#,Name,Start,End,Length,Color
R1,COUNT-IN 4x1,3.1.02,4.1.02,1.0.00,
R2,TOMS 8x4,4.1.02,12.1.02,8.0.00,00FF00
R3,TOMS+SNARE 8x4,12.1.02,20.1.02,8.0.00,80FF80
R4,INTRO 4x4,20.1.02,23.3.02,3.2.00,FFFF00
R5,MEGAFILL,23.3.02,24.1.02,0.2.00,FF8040
R6,VERSE 4x8,24.1.02,31.3.02,7.2.00,00FFFF
R7,MINIBRIDGE,31.3.02,32.1.02,0.2.00,FF8000
R8,CHORUS 4x4,32.1.02,36.1.02,4.0.00,FF0000
R9,INTRO 4x4,36.1.02,39.3.02,3.2.00,00FF00
R10,MEGAFILL,39.3.02,40.1.02,0.2.00,FF8000
R11,VERSE 4x8,40.1.02,47.3.02,7.2.00,80FFFF
R12,MINIBRIDGE,47.3.02,48.1.02,0.2.00,FF8000
R13,CHORUS 4x8,48.1.02,56.1.02,8.0.00,FF0000
R14,SPECIAL 4x4,56.1.02,59.3.02,3.2.00,0080FF
R15,FILL,59.3.02,60.1.02,0.2.00,FF8000
R16,SPECIAL 4x2,60.1.02,62.1.02,2.0.00,0080FF
R17,PRE-STOP 6x1 !!!,62.1.02,63.1.02,1.0.00,8000FF
R18,STOP 4x3,63.1.02,66.1.02,3.0.00,FFFFFF
R19,INTRO TOMS 4x2,66.1.02,67.4.02,1.3.00,FFFF80
R20,FILL,67.4.02,68.1.02,0.1.00,FF8040
R21,CHORUS 4x8,68.1.02,76.1.02,8.0.00,FF0000
